수행시각,아이템명,성공타입,성공횟수,성공확률(%),기대확률(%),오차(%)
2023-02-24 17:39,무기 각인 증폭제,대성공,10028,1.0028,,
2023-02-24 17:39,무기 각인 증폭제,일반성공,1000000,100.0000,,
2023-02-24 17:39,축복받은 장비 각인석,대성공,2428,0.2428,0.25,2.88
2023-02-24 17:39,축복받은 장비 각인석,일반성공,249582,24.9582,25.0,0.1672
2023-02-24 17:39,영혼석[희귀] : 다크 나이트,대성공,10013,1.0013,1.0,0.13
2023-02-24 17:39,영혼석[희귀] : 다크 나이트,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 다크 스팅어,대성공,10076,1.0076,1.0,0.76
2023-02-24 17:39,영혼석[희귀] : 다크 스팅어,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 발키리,대성공,9717,0.9717,1.0,2.83
2023-02-24 17:39,영혼석[희귀] : 발키리,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 엘더 스팅어,대성공,10056,1.0056,1.0,0.56
2023-02-24 17:39,영혼석[희귀] : 엘더 스팅어,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 데빌헌터,대성공,9970,0.9970,1.0,0.3
2023-02-24 17:39,영혼석[희귀] : 데빌헌터,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 여신 칼리,대성공,10022,1.0022,1.0,0.22
2023-02-24 17:39,영혼석[희귀] : 여신 칼리,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 유피테르의 사념,대성공,9997,0.9997,1.0,0.03
2023-02-24 17:39,영혼석[희귀] : 유피테르의 사념,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 크로노스,대성공,10062,1.0062,1.0,0.62
2023-02-24 17:39,영혼석[희귀] : 크로노스,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 다크 메이지,대성공,9998,0.9998,1.0,0.02
2023-02-24 17:39,영혼석[희귀] : 다크 메이지,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 넵튠,대성공,10117,1.0117,1.0,1.17
2023-02-24 17:39,영혼석[희귀] : 넵튠,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 넵튠 아처,대성공,9960,0.9960,1.0,0.4
2023-02-24 17:39,영혼석[희귀] : 넵튠 아처,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 오페르시나,대성공,9848,0.9848,1.0,1.52
2023-02-24 17:39,영혼석[희귀] : 오페르시나,일반성공,1000000,100.0000,100.0,0.0
2023-02-24 17:39,영혼석[희귀] : 크로노스 아처,대성공,10091,1.0091,1.0,0.91
2023-02-24 17:39,영혼석[희귀] : 크로노스 아처,일반성공,1000000,100.0000,100.0,0.0
